X,Y,Time
1600,794,0
800,83,65253.730000000025
832,180,65274.15000000001
832,180,65291.8
767,163,65308.075000000026
767,163,65323.93000000001
767,163,65343.730000000025
851,197,65360.635000000024
785,191,65376.08000000003
813,146,65393.31500000002
813,146,65409.56000000001
732,162,65430.095000000016
777,246,65446.135000000024
767,240,65461.91000000002
739,173,65478.64500000003
739,173,65494.220000000016
639,283,65515.970000000016
639,283,65533.94500000002
675,158,65550.34999999999
675,158,65567.35000000002
718,162,65583.545
771,159,65599.68500000001
709,135,65616.045
709,135,65631.83
701,171,65648.82000000002
701,171,65665.41500000002
626,158,65681.71500000001
626,158,65697.09000000001
626,158,65713.77500000001
333,332,65730.335
333,332,65745.73500000003
215,281,65762.02500000001
273,295,65777.43000000001
378,385,65797.15500000001
259,343,65814.145
269,364,65829.72500000002
266,344,65845.22000000002
362,286,65862.02500000001
373,308,65878.31000000001
793,172,65907.04000000002
610,266,65927.04000000002
621,213,65943.35500000003
612,241,65974.7
612,241,65992.585
652,215,66026.19000000002
724,184,66042.96500000001
724,184,66059.59000000001
563,236,66092.19000000002
549,228,66109.17000000003
567,74,66127.24000000003
499,164,66156.97500000002
499,164,66173.74
626,207,66190.085
643,197,66225.55500000001
643,197,66242.65500000001
744,129,66273.12500000001
776,194,66291.53499999999
723,148,66313.44000000002
559,283,66342.71
588,254,66362.75500000002
609,217,66384.54
477,347,66415.145
477,347,66435.58500000004
516,260,66467.02
516,230,66485.06000000001
516,230,66502.47500000002
495,273,66533.25000000001
381,321,66550.52500000001
381,321,66568.10000000002
558,150,66590.35000000002
506,154,66607.43500000001
535,340,66628.335
544,219,66645.56000000001
544,219,66663.395
668,205,66681.52000000003
668,205,66698.24
492,306,66729.75499999999
632,156,66747.28000000001
616,144,66765.30500000001
494,271,66796.97000000002
494,271,66815.29000000002
495,269,66847.35000000002
499,210,66865.21
539,188,66886.12500000001
647,242,66917.99000000003
647,242,66935.75000000001
622,220,66953.24500000001
523,68,66987.45000000003
523,68,67005.74500000001
518,261,67039.56000000001
643,226,67059.835
523,261,67099.67000000003
609,271,67118.72000000002
686,193,67151.01
686,193,67169.69500000002
661,111,67202.69000000002
661,111,67220.76
575,211,67253.64500000003
575,211,67274.19000000002
567,265,67304.615
603,211,67322.87000000001
603,211,67340.865
482,208,67358.73
707,228,67388.06500000002
707,228,67405.37999999999
790,270,67425.94000000002
659,301,67455.87000000004
659,301,67475.76
733,326,67493.84000000004
586,268,67524.06000000001
592,249,67541.52
636,252,67559.84000000001
642,176,67592.59500000002
615,356,67609.94499999999
693,190,67634.20000000003
543,318,67663.83500000004
543,318,67681.52500000001
431,347,67698.52000000003
527,237,67728.94499999999
527,237,67747.81000000001
530,222,67771.44000000002
636,271,67806.99500000001
542,239,67828.14
579,270,67860.12000000001
540,200,67878.71
718,232,67912.26000000002
605,207,67929.55000000003
685,214,67960.64
685,214,67977.94000000002
690,157,67995.31500000002
614,347,68028.65000000001
614,347,68048.27500000001
694,301,68079.71500000001
563,225,68103.10500000003
700,315,68134.295
656,199,68151.43999999999
656,199,68170.21500000001
703,327,68203.17000000003
682,207,68224.42500000003
682,207,68241.74500000001
608,296,68261.42500000003
608,296,68282.65000000001
670,331,68302.17500000003
670,331,68326.08
613,315,68345.51500000003
636,369,68366.43500000001
636,369,68387.58
647,343,68415.30500000001
698,241,68432.52
698,241,68449.38000000002
625,270,68467.73
657,252,68485.21
657,252,68502.06500000002
705,326,68534.63000000002
728,232,68552.10000000002
724,284,68582.82000000002
724,284,68600.295
657,340,68618.09500000002
737,327,68648.60500000003
650,298,68665.85000000002
650,298,68683.15000000001
850,263,68700.61500000003
942,347,68730.72000000002
930,274,68748.22500000002
871,259,68767.43500000004
833,272,68797.36000000003
833,272,68815.24
1017,351,68835.44500000002
746,330,68865.675
746,330,68884.60500000003
731,425,68901.74
823,269,68938.825
683,370,68957.74000000003
683,370,68977.12000000001
769,135,68996.55
752,189,69013.985
740,331,69030.83
740,331,69047.73000000003
781,459,69066.3
750,426,69083.43500000001
742,309,69100.60500000003
754,283,69118.175
733,232,69135.95500000003
733,232,69152.32000000002
766,102,69172.06500000002
843,272,69190.12500000001
843,272,69207.02500000001
897,229,69223.79
897,229,69240.37500000001
868,236,69258.48000000003
868,236,69274.83
934,284,69291.83000000003
885,231,69308.23
872,345,69326.03000000001
872,345,69342.21500000001
845,346,69359.55500000001
928,290,69375.80000000003
928,290,69396.145
785,411,69414.72000000002
871,318,69437.54500000003
871,318,69457.55000000003
878,304,69474.02
878,304,69490.76000000002
858,264,69511.81000000001
758,333,69529.33500000004
758,333,69545.64
779,269,69561.91500000002
788,251,69578.53500000002
864,217,69595.05500000004
864,217,69611.13500000002
868,324,69627.40500000001
887,328,69643.985
929,322,69661.335
929,322,69677.78000000001
833,219,69694.31500000002
833,219,69714.43500000001
808,320,69731.33500000004
808,320,69746.69500000002
808,320,69762.605
890,307,69779.50500000002
924,267,69795.26
924,267,69811.43500000001
900,339,69831.46500000001
964,288,69852.44500000002
883,124,69870.85000000002
883,124,69887.22000000002
858,233,69906.425
857,231,69927.30000000003
1038,324,69944.28000000001
957,124,69962.02500000001
957,124,69978.29
888,291,69994.75000000001
888,291,70011.05500000001
779,288,70027.61
779,288,70043.325
881,233,70060.76500000003
881,233,70076.79000000002
1040,152,70092.64500000003
1040,152,70108.65500000001
991,192,70125.50500000002
991,192,70140.98
991,192,70160.20000000003
1049,230,70177.31999999999
1049,230,70192.81000000001
995,269,70208.44000000002
995,269,70224.14000000003
1039,216,70240.37000000001
1039,216,70256.97000000002
1136,198,70272.56500000002
1114,254,70288.45
1178,336,70306.23000000003
1093,390,70322.46500000001
1040,331,70338.105
952,240,70354.34999999999
1030,198,70371.59500000002
1097,373,70387.56500000002
1124,310,70408.395
1065,299,70428.96
1116,219,70445.01000000002
1075,342,70465.71500000001
1075,342,70481.55000000003
1087,224,70497.25000000001
1087,224,70513.3
1087,224,70528.94000000002
1111,244,70544.62000000001
1211,246,70561.06500000002
1185,253,70578.605
1185,253,70593.93500000001
1066,244,70610.29000000002
1066,244,70629.86
1115,262,70649.885
1203,299,70667.03000000001
1203,299,70687.00000000001
1174,227,70703.63500000002
1246,271,70722.85000000002
1168,195,70738.47000000002
1155,161,70754.7
1123,284,70772.98500000003
1192,240,70788.46500000001
1175,243,70804.605
1190,195,70820.34000000001
1190,195,70837.19499999999
1167,255,70854.395
1167,255,70870.25500000002
1134,255,70887.05
1267,314,70909.03500000002
1267,314,70925.05500000001
1197,446,70940.77
1168,439,70958.71500000001
1217,364,70978.96500000001
1160,388,70995.01500000003
1160,388,71011.43500000004
1217,390,71027.41000000002
1200,342,71043.96500000001
1266,363,71060.06000000001
1266,363,71075.69500000002
1117,310,71095.545
1117,310,71113.66500000002
1165,382,71129.8
1206,420,71145.31000000001
1206,391,71161.835
1222,300,71177.60500000003
1206,306,71198.03500000002
1229,261,71214.41500000002
1298,215,71231.28000000001
1237,268,71246.96000000004
1287,248,71262.69000000002
1156,356,71278.645
1156,356,71294.83
1181,323,71311.09999999999
1212,250,71326.69000000002
1272,259,71342.67000000003
1272,259,71359.38000000002
1279,267,71376.78500000002
1270,370,71397.08
1156,327,71413.48000000003
1269,217,71433.915
1269,217,71449.24000000003
1270,376,71465.92
1270,376,71482.31000000001
1173,436,71498.80500000004
1161,443,71519.65000000001
1202,399,71537.06000000001
1202,399,71552.72000000002
1265,436,71572.75500000002
1270,456,71588.90000000001
1270,456,71604.69500000002
1270,456,71621.605
1246,314,71637.205
1231,338,71652.56500000002
1320,397,71670.15000000004
1307,404,71686.92500000003
1305,413,71702.68000000001
1305,413,71719.15000000001
1323,326,71736.23000000003
1323,326,71752.23000000003
1312,382,71769.58
1312,382,71786.47500000002
1354,344,71805.62999999999
1354,344,71823.265
1275,375,71839.00000000001
1275,375,71855.65500000001
1308,273,71871.37500000001
1253,321,71888.80500000001
1280,457,71904.50000000001
1280,457,71920.21
1258,499,71936.37000000001
1258,499,71954.07000000002
1187,333,71969.93999999999
1187,333,71986.43500000001
1187,333,72003.91000000002
1268,382,72019.71000000004
1300,425,72035.97000000002
1300,425,72054.31000000001
1363,447,72072.05
1363,447,72087.62000000001
1221,433,72103.98000000003
1221,433,72119.48
1389,384,72140.18500000001
1389,384,72156.52000000003
1376,379,72172.58
1376,379,72188.33
1344,327,72204.73
1344,327,72224.69000000002
1327,433,72240.605
1303,426,72257.15500000001
1328,298,72275.46500000001
1403,391,72291.40000000001
1446,383,72307.14000000003
1421,270,72323.25500000002
1421,270,72339.47500000002
1366,271,72355.30500000001
1444,420,72370.94000000002
1444,420,72387.10000000002
1400,376,72403.7
1348,398,72419.87000000001
1288,424,72437.66000000002
1288,424,72454.74500000001
1384,565,72474.56500000002
1384,565,72490.28500000002
1352,347,72506.11000000003
1352,347,72522.835
1198,319,72543.325
1241,316,72559.085
1325,285,72575.31000000001
1325,285,72591.46
1278,269,72607.985
1246,216,72623.835
1379,378,72639.57000000002
1346,429,72656.24500000001
1207,459,72672.19500000002
1207,459,72687.765
1287,365,72703.44000000002
1287,365,72719.985
1287,365,72735.385
1178,301,72752.02
1178,301,72768.48
1289,298,72785.74500000001
1321,313,72801.77500000001
1291,118,72818.37500000001
1369,337,72836.44500000002
1430,463,72852.27000000003
1366,350,72868.84500000002
1366,350,72885.26500000003
1508,462,72901.89
1426,441,72920.98
1396,426,72938.865
1396,426,72954.83
1428,515,72977.01500000003
1428,515,72992.54500000003
1368,404,73009.15500000001
1376,420,73025.42000000003
1311,455,73041.67
1311,455,73057.37000000001
1430,288,73073.08000000003
1411,315,73090.68000000001
1411,315,73107.72500000002
1265,390,73123.63000000002
1305,287,73139.26500000003
1305,287,73157.31500000002
1292,426,73177.31000000001
1280,404,73194.05000000003
1230,381,73210.17000000003
1230,381,73226.25000000001
1297,439,73244.34500000002
1297,439,73263.09999999999
1261,448,73279.22000000002
1251,577,73294.8
1339,353,73311.94000000002
1339,353,73327.63000000002
1465,472,73343.51
1465,472,73359.74500000004
1388,529,73375.84500000002
1388,529,73391.27500000004
1343,410,73407.425
1343,410,73423.47500000002
1411,462,73438.94000000002
1411,462,73455.32000000002
1411,462,73471.35000000002
1427,561,73487.55000000003
1427,561,73506.075
1422,527,73522.18500000004
1422,527,73537.56000000001
1357,531,73556.41000000002
1392,470,73571.99500000001
1392,470,73588.72000000002
1314,564,73605.63000000002
1314,564,73622.02500000001
1279,510,73637.59000000001
1279,510,73654.00500000002
1298,467,73670.06500000002
1298,467,73686.30500000004
1273,445,73705.56000000001
1273,445,73721.98000000003
1362,538,73738.31500000002
1362,538,73754.71500000004
1243,474,73770.72500000002
1243,474,73786.10000000002
1274,481,73802.75000000001
1274,481,73818.10000000002
1274,481,73834.01000000002
1317,575,73851.705
1317,575,73868.79000000002
1315,505,73884.51000000002
1315,505,73903.03000000001
1389,525,73918.88000000002
1389,525,73940.37500000001
1289,422,73956.735
1403,528,73972.765
1403,528,73988.56000000004
1327,501,74005.8
1327,501,74022.48000000003
1233,488,74038.2
1306,590,74057.45
1360,418,74076.31999999999
1360,418,74097.72000000002
1247,411,74114.10500000003
1297,568,74131.64000000003
1297,568,74150.68000000001
1191,558,74169.895
1191,558,74188.08500000004
1257,523,74207.27
1275,590,74226.15500000001
1275,590,74245.02
1199,516,74265.64
1280,496,74289.575
1215,487,74313.96500000001
1274,449,74333.165
1200,464,74354.31000000001
1200,464,74375.11000000003
1193,443,74391.40500000001
1207,546,74411.17000000003
1207,546,74430.27000000003
1283,558,74446.04500000003
1283,558,74463.85500000003
1264,577,74480.10000000002
1264,577,74495.53500000002
1274,561,74516.24500000001
1259,441,74536.93500000001
1260,483,74554.67500000003
1260,483,74570.365
1298,526,74587.865
1298,526,74611.11000000003
1412,539,74626.91500000002
1412,539,74642.60500000003
1346,569,74664.65000000001
1356,510,74680.48
1356,510,74696.12999999999
1305,588,74716.47500000002
1305,588,74733.24
1269,563,74749.46
1269,563,74766.28499999999
1312,583,74782.92500000003
