X,Y,Time
1600,794,0
873,294,68901.96000000043
811,288,68923.26500000013
760,328,68941.23500000034
749,300,68957.44000000041
749,300,68972.82500000065
712,298,68988.43000000017
712,298,69003.52500000037
699,272,69019.55500000063
727,244,69034.78000000026
733,227,69050.21500000032
729,414,69067.77000000048
627,492,69084.02500000037
627,492,69100.9700000002
666,426,69116.53000000026
652,372,69131.92500000028
657,368,69149.98500000034
747,341,69168.2900000005
747,341,69183.74000000022
753,330,69201.54499999993
709,390,69216.83000000054
738,379,69232.02500000037
738,379,69247.58500000043
512,480,69264.8500000001
515,424,69282.31499999994
538,474,69299.65000000037
538,452,69315.74000000022
589,386,69333.73500000034
560,444,69353.4150000005
358,352,69368.49500000058
469,425,69384.54000000004
130,276,69401.1650000005
286,256,69416.85499999998
258,243,69433.11500000069
301,255,69448.75000000047
242,425,69465.03500000061
340,540,69480.12000000058
361,550,69497.2900000005
466,437,69515.18000000017
323,585,69533.22000000067
323,585,69549.25000000047
423,534,69564.44000000041
423,534,69580.14000000013
417,394,69597.3450000002
417,394,69613.65500000026
392,529,69631.33500000043
392,529,69648.10500000045
445,370,69668.25500000035
445,370,69683.75500000035
403,341,69699.38500000024
403,341,69714.98000000045
461,337,69730.43000000017
461,337,69746.9700000002
498,307,69767.14500000048
498,307,69783.66500000004
465,419,69799.03500000015
387,497,69814.26000000024
503,509,69830.69000000041
503,509,69847.00000000047
466,497,69863.91500000004
620,521,69881.72000000067
620,521,69897.23500000034
553,515,69915.67000000039
507,617,69935.1950000003
497,568,69951.11500000069
447,587,69966.95000000019
447,587,69985.48000000045
458,694,70001.23500000034
490,374,70017.03500000061
481,425,70032.82500000065
486,469,70049.25500000035
518,403,70064.78500000015
518,403,70079.92500000028
457,374,70104.59500000067
474,484,70119.72999999998
544,384,70135.30500000063
544,384,70150.63000000035
516,334,70170.70000000019
563,319,70189.78000000026
594,268,70205.43000000017
555,311,70222.93500000052
516,420,70243.70500000054
516,420,70261.18500000052
445,519,70281.99500000058
480,595,70302.9750000001
443,657,70321.91500000004
531,447,70340.99500000011
531,447,70359.53000000026
566,521,70378.1400000006
586,604,70397.76000000071
441,583,70422.43000000017
614,346,70448.55500000017
737,327,70464.08500000043
702,343,70479.83500000043
745,384,70499.71500000032
699,327,70515.06500000041
859,434,70530.53500000015
800,441,70546.2200000002
755,529,70570.1000000001
718,537,70587.65500000073
773,553,70603.0700000003
632,503,70618.10000000056
717,394,70634.43500000006
707,419,70650.3450000002
718,420,70670.53000000026
713,350,70686.43500000052
796,309,70703.68000000017
741,342,70719.52500000037
620,347,70735.48500000034
620,347,70752.54000000004
614,371,70770.06000000052
655,270,70785.34500000067
718,419,70800.96000000043
730,394,70816.35499999998
816,430,70832.9700000002
807,412,70850.52000000002
723,308,70865.49000000022
723,308,70881.71500000032
641,436,70899.15500000026
641,436,70913.95500000007
796,398,70929.08000000007
829,396,70945.58000000007
753,459,70962.56000000006
712,444,70979.66000000015
712,444,70995.96500000032
826,464,71013.20000000065
858,466,71030.5700000003
640,502,71046.47999999998
640,502,71063.11500000022
682,310,71080.80000000028
682,310,71096.02500000037
646,334,71112.62500000047
598,481,71129.36500000069
676,502,71147.85000000056
775,426,71162.98000000045
775,426,71179.4150000005
736,513,71195.81500000041
754,454,71212.88500000024
728,483,71231.74000000022
728,483,71247.59000000032
666,455,71263.09000000032
666,455,71278.9450000003
752,413,71300.91000000015
752,413,71316.3200000003
680,421,71331.74500000011
680,421,71348.21500000032
710,359,71367.91000000015
776,300,71384.2650000006
776,300,71400.68500000052
745,247,71416.58000000007
745,247,71432.06500000041
747,386,71448.22500000056
722,412,71466.65500000026
836,343,71483.01000000024
836,343,71498.03500000015
759,316,71513.76000000071
759,316,71531.67000000039
688,329,71547.86500000022
799,401,71563.6950000003
799,401,71579.31500000041
805,475,71596.01000000024
754,382,71612.16500000004
734,379,71630.5400000005
753,384,71645.4450000003
893,365,71662.46000000043
858,398,71678.92000000039
